name_norm,place_id_a,place_id_b,gap_m,n_clusters_of_name
S-oil정문,PB_a9c97adb,PB_d63b2acc,1063.029,2
SK후문앞,PB_c70d18e3,PB_e7de6c20,266.907,2
가정마을,PB_ada15bc7,PB_eaa236ad,238.712,2
갈티마을입구,PB_058819f7,PB_8a614a63,156.036,2
극동스타클래스,PB_98262fe4,PB_cdbc2380,10827.453,2
꽃바위아파트,PB_a7173991,PB_c21df485,266.019,2
나사리,PB_931d613a,PB_bca6520c,215.724,2
농수산물종합유통센터후문,PB_0e1a9d9e,PB_597ddb73,199.767,2
달동사거리,PB_3991b94e,PB_c13db518,1539.031,2
달동주공아파트앞,PB_103adcf5,PB_1b7b5ebb,204.168,2
당산,PB_8234663e,PB_86389060,24078.47,2
대경넥스빌앞,PB_3b5a9c51,PB_791cc0d0,177.019,2
대리,PB_dcdb755b,PB_e9b1a2d9,12966.851,2
덕신입구,PB_510f03bd,PB_7dff78b2,214.806,2
동광카,PB_1e286eac,PB_fbe3d374,404.88,2
동덕현대아파트,PB_83888a0b,PB_8b009f8a,2286.318,2
동문굿모닝힐,PB_51584880,PB_e70a3add,10828.705,2
동부경찰서,PB_1f482f23,PB_d5a99232,183.269,2
두동양지,PB_46a5099c,PB_4934c6dd,406.663,2
두왕사거리,PB_1ad005dd,PB_cbd7b1f3,409.269,2
들꽃학습원,PB_583c6e36,PB_95d49494,266.769,2
롯데캐슬,PB_8023819d,PB_9be256bc,6411.62,2
매곡,PB_03c46fab,PB_66d2dee3,150.935,2
매곡119안전센터,PB_153c83fa,PB_575bb238,187.987,2
메가마트,PB_5f3e86e5,PB_7923b20b,191.082,3
메가마트,PB_5f3e86e5,PB_b631595d,21779.86,3
메가마트,PB_7923b20b,PB_b631595d,21936.051,3
명동마을,PB_09580c9d,PB_0ef10ea2,19546.792,2
모래골,PB_0b67f4f3,PB_5a82fa91,167.053,2
무동,PB_284420ef,PB_a5131607,380.083,2
무룡고등학교앞,PB_8a4b6a08,PB_f65315b3,180.218,2
