place_id,name_norm,reason,routes_serving
PB_00f2d36a,호계중학교정문,uncovered_circular_only,944
PB_029afce8,신기마을앞,uncovered_circular_only,울주01
PB_038a2c87,센트랄,non_backbone_variant_only,246
PB_03c51077,주공아파트입구,uncovered_circular_only,31|32|36
PB_03eb1909,벽산아파트입구,uncovered_circular_only,927
PB_0461d4f0,천호탕앞,uncovered_circular_only,921|925|928
PB_05298d90,LS사택,mixed_nonbackbone,50|53
PB_0555a217,도성가든후문,uncovered_circular_only,921|925|928
PB_06c6b1cd,에쓰오일사택,uncovered_circular_only,975
PB_077cffdd,스포츠과학중고교,non_backbone_variant_only,943
PB_09bde66e,출강마을회관,uncovered_circular_only,울주04
PB_09c6afa3,온산중학교,non_backbone_variant_only,52
PB_0a57dbb0,평해사입구,non_backbone_variant_only,122|442|702|940
PB_0acab997,전하2동주민센터,uncovered_circular_only,32
PB_0bca0d18,용연한국가스공사,mixed_nonbackbone,236|236 지원2
PB_0c2cbd0f,울산병원,uncovered_circular_only,925|975
PB_0c6f80ae,도동마을,uncovered_circular_only,울주06
PB_0d2afbe8,자수정동굴나라,non_backbone_variant_only,953
PB_0d5af8cf,신영공업,non_backbone_variant_only,328
PB_0de752b0,우방아파트,uncovered_circular_only,921|928
PB_0ea905ef,천상,out_of_universe_only,1733
PB_0edb1022,진등,non_backbone_variant_only,308
PB_0ee22eae,군청,uncovered_circular_only,921
PB_0f11cb31,평강교회,uncovered_circular_only,32|931
PB_10776519,넝쿨아파트,uncovered_circular_only,975
PB_14916766,서리,non_backbone_variant_only,61|62
PB_154dde61,울산대학교병원,uncovered_circular_only,31|32|36|931
PB_1655bbfe,음지,non_backbone_variant_only,308
PB_1682c4c4,우주가든앞,uncovered_circular_only,925
PB_176dce48,금정체육공원.경륜장입구,out_of_universe_only,1137
PB_183f3c69,동구청사거리,uncovered_circular_only,932
PB_1ae60db4,하나로마트,mixed_nonbackbone,924|924 지원2|957
PB_1aea1876,내사회관,non_backbone_variant_only,708|718
PB_1aeac2a2,신기,non_backbone_variant_only,308
PB_1b3da4d0,욱실,uncovered_circular_only,울주03
PB_1d7dec75,교동입구보건소앞,uncovered_circular_only,울주01
PB_1efe5773,센트럴하이츠,uncovered_circular_only,975
PB_1f105966,전하체육센터,uncovered_circular_only,32
PB_1f1617f0,일산행정복지센터,uncovered_circular_only,932
PB_21c9cffa,영남빌라,uncovered_circular_only,921
PB_22f7442b,윤영테크,non_backbone_variant_only,246
PB_230f1ff8,월내,uncovered_circular_only,울주02
PB_23417ca1,지곡회관,uncovered_circular_only,울주06
PB_23c6dcc5,돌담집,non_backbone_variant_only,15
PB_241e109f,별빛광장,uncovered_circular_only,932
PB_243d2772,동부아파트204동,uncovered_circular_only,923|929
PB_24955d69,무거한라아파트,non_backbone_variant_only,955
PB_293e653c,산돌교회,uncovered_circular_only,31|32|36
PB_2977ae28,농수산물시장,uncovered_circular_only,31|32|36
PB_2abe2bca,강남파크,uncovered_circular_only,923
PB_2af57b75,에코캡,non_backbone_variant_only,328
PB_2c247b84,무거실버복지관,out_of_universe_only,1137
PB_2c2fccdf,울산대교전망대,uncovered_circular_only,932
PB_2c3ca9f7,메이퀸컨벤션,uncovered_circular_only,931
PB_2c8cba18,주렴마을,non_backbone_variant_only,943
PB_2d6e7320,방어진시장,uncovered_circular_only,36
PB_2d7b473e,반석아파트,uncovered_circular_only,31|36
PB_2daefa95,E편한세상,non_backbone_variant_only,12
PB_2e3aafd1,남창고등학교,non_backbone_variant_only,956
PB_2fb8a65b,북각골입구,non_backbone_variant_only,308
PB_30ee6777,귀지마을회관,uncovered_circular_only,울주01
PB_310f76c1,언양,no_pattern,
PB_319f6e59,평화시장,uncovered_circular_only,928
PB_323530a4,중앙공원,uncovered_circular_only,975
PB_348521af,효성아파트,uncovered_circular_only,921
PB_34b4b251,일산새마을금고,uncovered_circular_only,31|36|932
PB_353ba3de,일산해수욕장,uncovered_circular_only,932
PB_35d784d6,한국케이블방송앞,uncovered_circular_only,925|975
PB_373ecc9c,화산장터,uncovered_circular_only,울주02
PB_37597f3f,울산축산회관,mixed_nonbackbone,1723|348
PB_3872f485,중광마을입구,uncovered_circular_only,울주01
PB_39019012,일산수산물판매센터,uncovered_circular_only,932
PB_393c94db,목련아파트앞,uncovered_circular_only,928
PB_3aa790cb,삼익세라믹,uncovered_circular_only,923
PB_3aca520a,새진흥아파트,non_backbone_variant_only,953
PB_3b785721,금강기계공업,non_backbone_variant_only,246
