route,route_type,route_id,dir_label,n_stops,frequency,is_loop,first,last,role,direction_group,base_route_id,confidence,source,verified,verifier_agree,added_or_removed,evidence
10,General,BR_TAGO_USB192100101,풍암마을 방면,22,7,False,성안청구아파트,풍암마을,main,A:풍암마을 방면,,high,agent,True,True,,"Full-length outbound pattern, 22 stops 성안청구아파트→풍암마을, highest frequency f7. Seam to 102 at 풍암마을 (seam_a_to_b=true) = the turnaround. Sole full variant in 풍암마을 방면; 103 is an exact tail-subset short-turn of it (relationship b_short_turn_of_a). Outbound passes 계비고개."
10,General,BR_TAGO_USB192100103,풍암마을 방면,9,1,False,우정선경아파트앞,풍암마을,short_turn,A:풍암마을 방면,BR_TAGO_USB192100101,high,agent,True,True,"drops first 13 stops of 101 (성안청구아파트, 내약사마을입구, 약사골사거리, 약사아이파크, 약사중학교, 선우시장, 삼성아파트앞, 울산MBC, 계비고개, 복산1동행정복지센터앞, 북정아파트앞, 성안입구, 향교앞); begins mid-route at 우정선경아파트앞","f1, 9 stops 우정선경아파트앞→풍암마을. Its full sequence is an EXACT match of 101's tail (stops 14-22): 우정선경아파트앞,태화시장.우정선경2차,축산농협,울산교육청,점주가든,길촌마을입구,귀신고래바위,당수나무,풍암마을. Pair signal relationship=b_short_turn_of_a; jaccard 0.409. Same direction as 101."
10,General,BR_TAGO_USB192100102,성안청구 방면,24,6,False,풍암마을,성안청구,main,B:성안청구 방면,,high,agent,True,True,,"Full-length inbound (reverse direction) pattern, 24 stops 풍암마을→성안청구, f6. Reverse counterpart of 101 (name_jaccard 0.704; shared 풍암마을 turnaround). Per-direction asymmetry is legitimate: inbound uniquely serves 구역전시장, 홈플러스중구점, 약사동 and ends at 성안청구 (NOT 성안청구아파트, a different stop). Sole variant of this direction group."
101,General,BR_TAGO_USB194101013,꽃바위순환,33,13,True,꽃바위,꽃바위,main,A:꽃바위순환-화암방면(방어진→전하→동구청),,high,agent,True,True,n/a — canonical clockwise loop for direction A,"33 stops, f13 (tied-highest frequency). Full loop 꽃바위→화암→현대비치타운→방어진/일산→번덕→현대중공업일산문→전하시장→현대중공업 울산대학병원→현대예술관→현대패밀리명덕1·2차→동구청→울산과학대학앞→화정주공→송정타워→화암중학교→꽃바위아파트→꽃바위. Exact reverse pair with 014 (jaccard 0.879, reverse_pair, seam_a_to_b & seam_b_to_a both true). Highest-coverage pattern in its direction: it is the only variant serving the full 전하내선(현대예술관·명덕)·동구청·울산과학대 corridor, and 015 is a lower-frequency detour OF it (015 shares 013's first 16 stops and its 화암중학교→꽃바위 tail)."
101,General,BR_TAGO_USB194101015,꽃바위순환,31,4,True,꽃바위,꽃바위,detour,A:꽃바위순환-화암방면(방어진→전하→동구청),BR_TAGO_USB194101013,medium,agent,True,True,DROPS 013's 전하내선/동구청 segment (현대예술관·현대패밀리명덕1차·현대패밀리명덕2차·한마음회관.울산대학병원앞·대경넥스빌앞·남호그린아파트앞·전하아이파크·한라타워앞·동구청·금강아파트앞·울산과학대학앞·화정주공아파트앞·송정타워); ADDS 남목/미포 loop (남목2동·서부패밀리 아파트·현대중공업미포문앞·현대청운고앞·남목1동·남목1동행정복지센터·남목고등학교.비석골·성내·KCC울산공장·현대미포조선·현대미포조선동문),"31 stops, f4 (low). Shares 013's first 16 stops EXACTLY (꽃바위…현대중공업 울산대학병원) and rejoins 013's tail at 화암중학교→일산새마을금고앞→꽃바위아파트→꽃바위. Same travel direction as 013 (jaccard 015↔013=0.442 > 015↔014=0.364; seam to/from 013 both true). Diverges at 현대중공업 울산대학병원, rejoins at 화암중학교 — a diverge-and-rejoin substitution of the 전하내선/동구청 district for the 남목/미포 district. Classed as detour (shares both outbound and return legs of 013, no separate terminal — still a 꽃바위 loop) though branch-like because the substituted segment serves a genuinely different district."
101,General,BR_TAGO_USB194101014,꽃바위순환,31,13,True,꽃바위,꽃바위,main,B:꽃바위순환-꽃바위아파트방면(동구청→전하→방어진),,high,agent,True,True,n/a — canonical reverse-direction loop for direction B,"31 stops, f13 (tied-highest frequency). Exact reverse traversal of 013: 꽃바위→꽃바위아파트→일산새마을금고→화암중→송정타워→울산과학대→동구청→한라타워→대경넥스빌→명덕2·1차→현대예술관→전하시장→현대중공업일산문→번덕→일산/방어진→우성현대→비치타운앞→화암→꽃바위 (jaccard 0.879, reverse_pair=true, seam both ways). Uses opposite-direction platforms (비치타운앞 vs 013's 현대비치타운) and omits 해피랜드아파트앞 — legitimate 상/하행 asymmetry. Sole and canonical pattern for this reverse direction."
102,General,BR_TAGO_USB194101025,달천회관방면,82,10,False,꽃바위,달천회관앞,main,A:달천회관방면(꽃바위→달천),,high,agent,True,True,,"f10, 82 stops, one-way 꽃바위→달천회관앞 (turnaround). Full outbound corridor; equals the outbound half of loop 023 (name_jaccard 0.921, seam 023→025 at 꽃바위, relationship b_subset_detour_of_a). Only minor diff vs loop outbound: omits 쌍용아진그린타운2차. Canonical outbound direction (sole one-way 꽃바위→달천 pattern)."
102,General,BR_TAGO_USB194101024,꽃바위 방면,76,10,False,달천농공단지입구,꽃바위,main,B:꽃바위방면(달천→꽃바위),,high,agent,True,True,,"f10, 76 stops, one-way 달천농공단지입구→꽃바위. Full inbound corridor; equals the inbound half of loop 023 (name_jaccard 0.854, seam 024→023 at 꽃바위). Reverse direction of 025 using different platform stops (가재골 vs 가재골입구, 상안초등학교 vs 상안초등학교앞, 남목고등학교 vs 남목고등학교.비석골; 025-vs-024 jaccard 0.775 'divergent' = opposite-direction platforms, not a branch). Canonical inbound direction (sole one-way 달천→꽃바위 pattern)."
102,General,BR_TAGO_USB194101023,꽃바위순환,159,30,True,꽃바위,꽃바위,circular,C:꽃바위순환(out-and-back loop),BR_TAGO_USB194101025,high,agent,True,True,"onto outbound main 025 (꽃바위→달천회관앞) it adds the full inbound return half 달천농공단지입구→그린카운티입구→…→남목→…→꽃바위아파트→꽃바위 (= variant 024's path), forming one continuous out-and-back round trip; also includes 쌍용아진그린타운2차 that 025 omits","is_loop true, route_name 102(꽃바위순환), 159 stops, f30 (operationally dominant). first_norm=last_norm=꽃바위. = outbound 025 (jaccard 0.921, seam 023→025) + inbound 024 (jaccard 0.854, seam 024→023) concatenated. Retraces the same corridor 꽃바위→달천회관앞→꽃바위 in reverse (different platform stops each way) rather than describing a geographic loop."
103,General,BR_TAGO_USB194101034,꽃바위 방면,62,3,False,들꽃학습원,꽃바위,main,A:꽃바위 방면 (inbound 들꽃학습원→꽃바위),,high,agent,True,True,Full one-way inbound leg; equals loop 033's inbound half minus 염포동 (drops 염포동 between 성원상떼빌앞 and 성내).,"들꽃학습원→꽃바위 one-way, 62 stops, f3. reverse_pair=true with 035 (both seams match: 034 last 꽃바위 == 035 first; 035 last 들꽃학습원 == 034 first). Inbound uses 강변공영주차장·풍적맨션·학성배수장앞·옥성초등학교앞 downtown. Full-length corridor coverage in one direction, not a short-turn (automated 'subset_detour' label is an artifact of the loop containing this leg)."
